date,ticker_1,ticker_2,ticker_3
2020-04-09,ICD,PSTI,CFRX
2020-04-08,EFC,INSG,None
2020-04-07,DPW,None,None
2020-04-06,CCL,AKER,None
2020-04-03,CEI,SRNE,None
2020-03-30,JNJ,None,None
